,comment,currency,amount,text_length,text_wordcount,tokenized_comment
788,I donated because I would like to help people in India.,INR,500000,55.0,11.0,"['i', 'donated', 'because', 'i', 'would', 'like', 'to', 'help', 'people', 'in', 'india']"
789,"I think regardless of race or country, everyone deserves to live. Life is precious.",SGD,5000,83.0,14.0,"['i', 'think', 'regardless', 'of', 'race', 'or', 'country', 'everyone', 'deserves', 'to', 'live', 'life', 'is', 'precious']"
790,My father was in same situation in foreign country... understand  similar situations,SGD,2000,84.0,13.0,"['my', 'father', 'was', 'in', 'same', 'situation', 'in', 'foreign', 'country', 'understand', 'similar', 'situations']"
791,I donated because it is always the right thing to help others in need. Take care and get well soon.,SGD,1000,99.0,20.0,"['i', 'donated', 'because', 'it', 'is', 'always', 'the', 'right', 'thing', 'to', 'help', 'others', 'in', 'need', 'take', 'care', 'and', 'get', 'well', 'soon']"
792,This world will be a better place if we help each other.,SGD,5000,56.0,12.0,"['this', 'world', 'will', 'be', 'a', 'better', 'place', 'if', 'we', 'help', 'each', 'other']"
793,My heart goes all out to a foreign worker providing comfort for his family back home.🙏,SGD,2000,86.0,16.0,"['my', 'heart', 'goes', 'all', 'out', 'to', 'a', 'foreign', 'worker', 'providing', 'comfort', 'for', 'his', 'family', 'back', 'home']"
794,This person is in need and I want to share my blessings with people in hardship!,SGD,5000,80.0,16.0,"['this', 'person', 'is', 'in', 'need', 'and', 'i', 'want', 'to', 'share', 'my', 'blessings', 'with', 'people', 'in', 'hardship']"
796,Humanitarian aid,SGD,10000,16.0,2.0,"['humanitarian', 'aid']"
797,"The family is having huge burden. This small value is to give them hope, support and encouragement.",SGD,5000,99.0,17.0,"['the', 'family', 'is', 'having', 'huge', 'burden', 'this', 'small', 'value', 'is', 'to', 'give', 'them', 'hope', 'support', 'and', 'encouragement']"
798,"1 John 4:19 ""We love because He first loved us.""",SGD,10000,48.0,10.0,"['john', 'we', 'love', 'because', 'he', 'first', 'loved', 'us']"
799,Doing my part bits by bits.,SGD,1000,27.0,6.0,"['doing', 'my', 'part', 'bits', 'by', 'bits']"
801,"My dad also suffered from the same issue few years back. He used to be a workaholic too, he had a brain stroke on the day of his retirement & last day of work. I’m grateful that he is still able to recognize us.",SGD,1300,211.0,44.0,"['my', 'dad', 'also', 'suffered', 'from', 'the', 'same', 'issue', 'few', 'years', 'back', 'he', 'used', 'to', 'be', 'a', 'workaholic', 'too', 'he', 'had', 'a', 'brain', 'stroke', 'on', 'the', 'day', 'of', 'his', 'retirement', 'last', 'day', 'of', 'work', 'i', 'm', 'grateful', 'that', 'he', 'is', 'still', 'able', 'to', 'recognize', 'us']"
802,love is full around the corner,SGD,5000,30.0,6.0,"['love', 'is', 'full', 'around', 'the', 'corner']"
803,Get well soon bro. We pray for you.,SGD,3000,35.0,8.0,"['get', 'well', 'soon', 'bro', 'we', 'pray', 'for', 'you']"
804,Jiayou,SGD,5000,6.0,1.0,['jiayou']
805,nan,SGD,10000,,,['nan']
807,We must have faith. We can master our brain back in no time!,SGD,25000,60.0,13.0,"['we', 'must', 'have', 'faith', 'we', 'can', 'master', 'our', 'brain', 'back', 'in', 'no', 'time']"
